date,a2c,ddpg,ppo,td3,sac,mvo,dji
2021-04-26,1269521.456553818,1380992.1512271082,1264719.1527958342,1333375.0283489956,1391044.4093016395,1358974.6204525535,1320443.0372061396
2021-04-27,1268094.099723221,1383067.15800964,1264257.8824145782,1335833.3655262722,1391976.7460936317,1356661.209496788,1320571.1458130952
2021-04-28,1270912.9109872591,1379424.736928097,1242855.5572689788,1333939.761686398,1391160.8193358192,1354626.5882208836,1314179.0727608316
2021-04-29,1268982.060447098,1390021.8076373255,1245952.848321923,1342309.5386715664,1404830.127113224,1363165.7998954197,1323504.8936273556
2021-04-30,1266769.268878342,1380584.8201914942,1243750.9452204292,1332912.668970181,1396369.1173399696,1347717.997828463,1316296.8112492715
2021-05-03,1279277.570704819,1389094.6846018946,1248448.8093107268,1341025.4314862026,1406341.2506788978,1357393.0247055115,1325556.604575481
2021-05-04,1289653.1826890719,1390449.458500973,1242721.9123133474,1343573.24231918,1408644.5250166664,1338304.4583276792,1326326.0151544588
2021-05-05,1300053.2359231722,1395303.235795132,1239023.0425409172,1344723.5961933865,1412102.1548079262,1336097.7363620768,1330106.8887215855
2021-05-06,1308355.2642053377,1410483.933060757,1248152.9554571693,1355506.016676022,1425725.4443663368,1352270.379453883,1342471.342529629
2021-05-07,1312876.0236200106,1422755.4539538538,1258681.9300305487,1362943.3722668423,1438704.2451781044,1358379.4104359576,1351381.4175733437
2021-05-10,1321377.5375932467,1421834.8969622767,1251903.3392636802,1366447.9981594814,1437880.6004408607,1340605.9072013185,1350021.402030309
2021-05-11,1301092.8149408114,1399475.413224331,1238296.9138536307,1345344.690340115,1413640.0567549476,1323648.8678771162,1331618.3881387215
2021-05-12,1288508.0712388766,1369509.7412196314,1210311.0731788108,1312897.2731419338,1383930.6725081215,1288500.5363752355,1305136.9426364873
2021-05-13,1305406.9168885958,1388150.071427456,1224893.5040921713,1329025.9151020779,1402733.7339857826,1310324.0296654848,1321989.4477365455
2021-05-14,1315503.6634744417,1407993.241589657,1240529.1740518196,1343141.1906338467,1415430.036010624,1325968.6724646753,1336005.5007771517
2021-05-17,1319601.6349786532,1404576.3454867518,1236782.8385643088,1340105.2511311306,1412902.2267454872,1315196.415388029,1333895.503448611
